0, -1, 0.216470899, 1.43, 26865.01562510, -1, 0.001666561, 1.43, 27513.32812520, -1, 0.002682722, 1.43, 36729.32812530, -1, 0.003159351, 1.43, 36729.32812540, -1, 0.004208912, 1.43, 36729.32812550, -1, 0.005482372, 1.43, 37753.32812560, -1, 0.006309353, 1.43, 37753.32812570, -1, 0.006935917, 1.43, 38777.32812580, -1, 0.00769399, 1.43, 38777.32812590, -1, 0.008647651, 1.43, 38777.328125100, -1, 0.009014592, 1.43, 38777.328125110, -1, 0.009440176, 1.43, 38777.328125120, -1, 0.009763951, 1.43, 38777.328125130, -1, 0.010344485, 1.43, 38777.328125140, -1, 0.01116512, 1.43, 39801.328125150, -1, 0.012337008, 1.43, 39801.328125160, -1, 0.012985979, 1.43, 39801.328125170, -1, 0.01374613, 1.43, 40825.328125180, -1, 0.014512984, 1.43, 40825.328125190, -1, 0.015473892, 1.43, 40825.328125200, -1, 0.016416157, 1.43, 40825.328125210, -1, 0.017498992, 1.43, 41849.328125220, -1, 0.018518973, 1.43, 41849.328125230, -1, 0.019459283, 1.43, 41849.328125240, -1, 0.019885861, 1.43, 41849.328125250, -1, 0.020578943, 1.43, 41849.328125260, -1, 0.021054292, 1.43, 41849.328125270, -1, 0.022491599, 1.43, 42873.328125280, -1, 0.023222503, 1.72, 42873.328125290, -1, 0.024166822, 1.72, 42873.328125300, -1, 0.02467304, 1.72, 42873.328125310, -1, 0.025498806, 1.72, 43897.328125320, -1, 0.025909692, 1.72, 43897.328125330, -1, 0.026803471, 1.72, 43897.328125340, -1, 0.027476239, 1.72, 43897.328125350, -1, 0.027997246, 1.72, 43897.328125360, -1, 0.028326604, 1.72, 43897.328125370, -1, 0.029181751, 1.72, 44921.328125380, -1, 0.02949758, 1.72, 44921.328125390, -1, 0.030054953, 1.72, 44921.328125400, -1, 0.030522557, 1.72, 45945.328125410, -1, 0.031349528, 1.72, 45945.328125420, -1, 0.031812632, 1.72, 45945.328125430, -1, 0.032639674, 1.72, 45945.328125440, -1, 0.03339907, 1.72, 45945.328125450, -1, 0.03418081, 1.72, 46969.328125460, -1, 0.03494923, 1.72, 46969.328125470, -1, 0.035919644, 1.72, 46969.328125480, -1, 0.036277207, 1.72, 47993.328125490, -1, 0.036934161, 1.72, 47993.328125500, -1, 0.037757028, 1.72, 47993.328125510, -1, 0.038935859, 1.72, 47993.328125520, -1, 0.039676456, 1.72, 47993.328125530, -1, 0.040398021, 1.72, 47993.328125540, -1, 0.040778755, 1.72, 47993.328125550, -1, 0.041972228, 1.72, 49017.328125560, -1, 0.042863719, 1.72, 49017.328125570, -1, 0.044144873, 1.72, 50041.328125580, -1, 0.04454631, 1.72, 50041.328125590, -1, 0.045540997, 1.72, 50041.328125600, -1, 0.046336875, 1.72, 50041.328125610, -1, 0.047238808, 1.58, 50041.328125620, -1, 0.047666025, 1.58, 51065.328125630, -1, 0.048470696, 1.58, 51065.328125640, -1, 0.049354846, 1.58, 51065.328125650, -1, 0.050526562, 1.58, 51065.328125660, -1, 0.051335529, 1.58, 52089.328125670, -1, 0.052319914, 1.58, 52089.328125680, -1, 0.053098399, 1.58, 52089.328125690, -1, 0.053758992, 1.58, 53113.328125700, -1, 0.054436682, 1.58, 53113.328125710, -1, 0.055232263, 1.58, 53113.328125720, -1, 0.055667015, 1.58, 53113.328125730, -1, 0.0561092, 1.58, 53113.328125740, -1, 0.05681702, 1.58, 53113.328125750, -1, 0.057457381, 1.58, 54137.328125760, -1, 0.058174596, 1.58, 54137.328125770, -1, 0.0587037, 1.58, 54137.328125780, -1, 0.059421174, 1.58, 54137.328125790, -1, 0.060268254, 1.58, 55161.328125800, -1, 0.061114433, 1.58, 55161.328125810, -1, 0.062152764, 1.58, 55161.328125820, -1, 0.062970028, 1.58, 55161.328125830, -1, 0.064251165, 1.58, 55161.328125840, -1, 0.06498361, 1.58, 55161.328125850, -1, 0.065847672, 1.58, 56185.328125860, -1, 0.066520357, 1.58, 56185.328125870, -1, 0.066969542, 1.58, 56185.328125880, -1, 0.067250624, 1.58, 57209.328125890, -1, 0.067834711, 1.58, 57209.328125900, -1, 0.068105442, 1.58, 57209.328125910, -1, 0.068601048, 1.58, 57209.328125920, -1, 0.069196548, 1.58, 57209.328125930, -1, 0.070254531, 1.58, 58233.328125940, -1, 0.070987965, 1.58, 58233.328125950, -1, 0.071932466, 1.62, 58233.328125960, -1, 0.072485053, 1.62, 58233.328125970, -1, 0.073273499, 1.62, 59257.328125980, -1, 0.073613001, 1.62, 59257.328125990, -1, 0.074446816, 1.62, 59257.3281251000, -1, 0.075137555, 1.62, 59257.3281251010, -1, 0.075572662, 1.62, 60281.3281251020, -1, 0.076347659, 1.62, 60281.3281251030, -1, 0.077283871, 1.62, 60281.3281251040, -1, 0.078035542, 1.62, 60281.3281251050, -1, 0.079141271, 1.62, 60281.3281251060, -1, 0.079814027, 1.62, 61305.3281251070, -1, 0.080261241, 1.62, 61305.3281251080, -1, 0.081078301, 1.62, 61305.3281251090, -1, 0.08208391, 1.62, 61305.3281251100, -1, 0.082886368, 1.62, 62329.3281251110, -1, 0.083975484, 1.62, 62329.3281251120, -1, 0.084625947, 1.62, 62329.3281251130, -1, 0.085348281, 1.62, 62329.3281251140, -1, 0.08618395, 1.62, 62329.3281251150, -1, 0.087240341, 1.62, 63353.3281251160, -1, 0.087719668, 1.62, 63353.3281251170, -1, 0.088763022, 1.62, 64377.3281251180, -1, 0.089035389, 1.62, 64377.3281251190, -1, 0.089676891, 1.62, 64377.3281251200, -1, 0.090268436, 1.62, 64377.3281251210, -1, 0.091093745, 1.62, 64377.3281251220, -1, 0.091433139, 1.62, 64377.3281251230, -1, 0.092502556, 1.62, 65401.3281251240, -1, 0.09275266, 1.62, 65401.3281251250, -1, 0.093550148, 1.62, 65401.3281251260, -1, 0.094333729, 1.62, 65401.3281251270, -1, 0.095433564, 1.81, 66425.3281251280, -1, 0.095853432, 1.81, 66425.3281251290, -1, 0.096994451, 1.81, 66425.3281251300, -1, 0.097746883, 1.81, 66425.3281251310, -1, 0.098441327, 1.81, 66425.3281251320, -1, 0.098702633, 1.81, 66425.3281251330, -1, 0.099407241, 1.81, 67449.3281251340, -1, 0.099921656, 1.81, 67449.3281251350, -1, 0.10103049, 1.81, 67449.3281251360, -1, 0.101738507, 1.81, 67449.3281251370, -1, 0.102557716, 1.81, 68473.3281251380, -1, 0.103260358, 1.81, 68473.3281251390, -1, 0.104264677, 1.81, 68473.3281251400, -1, 0.105056018, 1.81, 68473.3281251410, -1, 0.106098252, 1.81, 69497.3281251420, -1, 0.106791422, 1.81, 69497.3281251430, -1, 0.107538326, 1.81, 69497.3281251440, -1, 0.108306155, 1.81, 69497.3281251450, -1, 0.109156769, 1.81, 70521.3281251460, -1, 0.109634562, 1.81, 70521.3281251470, -1, 0.110656083, 1.81, 70521.3281251480, -1, 0.111080278, 1.81, 70521.3281251490, -1, 0.111589023, 1.81, 71545.3281251500, -1, 0.112410452, 1.81, 71545.3281251510, -1, 0.113327352, 1.81, 71545.3281251520, -1, 0.113752726, 1.81, 71545.3281251530, -1, 0.114382776, 1.81, 71545.3281251540, -1, 0.115130739, 1.81, 71545.3281251550, -1, 0.116241297, 1.81, 72569.3281251560, -1, 0.11683812, 1.81, 72569.3281251570, -1, 0.117637501, 1.81, 72569.3281251580, -1, 0.118267671, 1.81, 73593.3281251590, -1, 0.118778123, 1.81, 73593.3281251600, -1, 0.119490707, 1.81, 73593.3281251610, -1, 0.120211059, 1.74, 73593.3281251620, -1, 0.120898296, 1.74, 73593.3281251630, -1, 0.121357102, 1.74, 74617.3281251640, -1, 0.122107189, 1.74, 74617.3281251650, -1, 0.12241226, 1.74, 74617.3281251660, -1, 0.123492501, 1.74, 75641.3281251670, -1, 0.124145076, 1.74, 75641.3281251680, -1, 0.124966988, 1.74, 75641.3281251690, -1, 0.125609148, 1.74, 75641.3281251700, -1, 0.126714215, 1.74, 75641.3281251710, -1, 0.1274266, 1.74, 75641.3281251720, -1, 0.128433346, 1.74, 76665.3281251730, -1, 0.128775651, 1.74, 76665.3281251740, -1, 0.129942309, 1.74, 76665.3281251750, -1, 0.130636543, 1.74, 76665.3281251760, -1, 0.131689616, 1.74, 77689.3281251770, -1, 0.132405934, 1.74, 77689.3281251780, -1, 0.13322127, 1.74, 77689.3281251790, -1, 0.1339457, 1.74, 77689.3281251800, -1, 0.134707495, 1.74, 78713.3281251810, -1, 0.135428939, 1.74, 78713.3281251820, -1, 0.136427644, 1.74, 78713.3281251830, -1, 0.13714272, 1.74, 78713.3281251840, -1, 0.137964834, 1.74, 78713.3281251850, -1, 0.138591317, 1.74, 79737.3281251860, -1, 0.139298003, 1.74, 79737.3281251870, -1, 0.140021142, 1.74, 79737.3281251880, -1, 0.141015437, 1.74, 80761.3281251890, -1, 0.141654113, 1.74, 80761.3281251900, -1, 0.142413005, 1.74, 80761.3281251910, -1, 0.143050877, 1.74, 80761.3281251920, -1, 0.144003186, 1.74, 80761.3281251930, -1, 0.144637969, 1.74, 80761.3281251940, -1, 0.14559005, 1.68, 81785.3281251950, -1, 0.145973007, 1.68, 81785.3281251960, -1, 0.146973538, 1.68, 81785.3281251970, -1, 0.14758548, 1.68, 81785.3281251980, -1, 0.148353315, 1.68, 82809.3281251990, -1, 0.148702155, 1.68, 82809.3281252000, -1, 0.149760219, 1.68, 82809.3281252010, -1, 0.150461836, 1.68, 82809.3281252020, -1, 0.150996014, 1.68, 83833.3281252030, -1,1 || thead computing time: 0.068294892 || system average load: 1.72  || memory usage: 57680.484375kb
680    --> queue size: 0 || thead computing time: 0.069242464 || system average load: 1.72  || memory usage: 58704.484375kb
690    --> queue size: 0 || thead computing time: 0.070031742 || system average load: 1.72  || memory usage: 58704.484375kb
700    --> queue size: 0 || thead computing time: 0.07080905 || system average load: 1.72  || memory usage: 58704.484375kb
710    --> queue size: 1 || thead computing time: 0.071317312 || system average load: 1.72  || memory usage: 59728.484375kb
720    --> queue size: 1 || thead computing time: 0.071749249 || system average load: 1.72  || memory usage: 59728.484375kb
730    --> queue size: 1 || thead computing time: 0.072115153 || system average load: 1.72  || memory usage: 60752.484375kb
740    --> queue size: 0 || thead computing time: 0.07270307 || system average load: 1.72  || memory usage: 60752.484375kb
750    --> queue size: 1 || thead computing time: 0.073161255 || system average load: 1.72  || memory usage: 60752.484375kb
760    --> queue size: 0 || thead computing time: 0.073749485 || system average load: 1.72  || memory usage: 61776.484375kb
770    --> queue size: 0 || thead computing time: 0.074272864 || system average load: 1.72  || memory usage: 61776.484375kb
780    --> queue size: 0 || thead computing time: 0.074729435 || system average load: 1.72  || memory usage: 61776.484375kb
790    --> queue size: 0 || thead computing time: 0.075246561 || system average load: 1.72  || memory usage: 62800.484375kb
800    --> queue size: 2 || thead computing time: 0.075945856 || system average load: 1.72  || memory usage: 62800.484375kb
810    --> queue size: 0 || thead computing time: 0.076553457 || system average load: 1.72  || memory usage: 63824.484375kb
820    --> queue size: 0 || thead computing time: 0.077333147 || system average load: 1.72  || memory usage: 63824.484375kb
830    --> queue size: 1 || thead computing time: 0.078035438 || system average load: 1.72  || memory usage: 63824.484375kb
840    --> queue size: 1 || thead computing time: 0.078607917 || system average load: 1.72  || memory usage: 63824.484375kb
850    --> queue size: 0 || thead computing time: 0.079424175 || system average load: 1.72  || memory usage: 64848.484375kb
860    --> queue size: 0 || thead computing time: 0.080218844 || system average load: 1.72  || memory usage: 64848.484375kb
870    --> queue size: 0 || thead computing time: 0.080813658 || system average load: 1.72  || memory usage: 64848.484375kb
880    --> queue size: 2 || thead computing time: 0.081460677 || system average load: 1.72  || memory usage: 64848.484375kb
890    --> queue size: 0 || thead computing time: 0.082104359 || system average load: 1.72  || memory usage: 65872.484375kb
900    --> queue size: 1 || thead computing time: 0.082581702 || system average load: 1.72  || memory usage: 65872.484375kb
910    --> queue size: 2 || thead computing time: 0.08303719 || system average load: 1.72  || memory usage: 66896.484375kb
920    --> queue size: 0 || thead computing time: 0.083726103 || system average load: 1.72  || memory usage: 66896.484375kb
930    --> queue size: 0 || thead computing time: 0.08463672 || system average load: 1.72  || memory usage: 66896.484375kb
940    --> queue size: 2 || thead computing time: 0.085288934 || system average load: 1.72  || memory usage: 17971.5kb
950    --> queue size: 0 || thead computing time: 0.085662494 || system average load: 1.72  || memory usage: 17971.5kb
960    --> queue size: 0 || thead computing time: 0.086370662 || system average load: 1.72  || memory usage: 17971.5kb
970    --> queue size: 1 || thead computing time: 0.08717442 || system average load: 1.72  || memory usage: 17971.5kb
980    --> queue size: 1 || thead computing time: 0.087830793 || system average load: 1.72  || memory usage: 17971.5kb
990    --> queue size: 1 || thead computing time: 0.088368624 || system average load: 1.72  || memory usage: 17971.5kb
1000    --> queue size: 0 || thead computing time: 0.088768425 || system average load: 1.72  || memory usage: 18995.5kb
1010    --> queue size: 0 || thead computing time: 0.089142992 || system average load: 1.72  || memory usage: 18995.5kb
1020    --> queue size: 0 || thead computing time: 0.089864759 || system average load: 1.72  || memory usage: 18995.5kb
1030    --> queue size: 1 || thead computing time: 0.090486563 || system average load: 1.72  || memory usage: 20019.5kb
1040    --> queue size: 0 || thead computing time: 0.091163286 || system average load: 1.72  || memory usage: 20019.5kb
1050    --> queue size: 0 || thead computing time: 0.091788551 || system average load: 1.72  || memory usage: 21043.5kb
1060    --> queue size: 0 || thead computing time: 0.092496408 || system average load: 1.72  || memory usage: 21043.5kb
1070    --> queue size: 0 || thead computing time: 0.093266306 || system average load: 1.72  || memory usage: 21043.5kb
1080    --> queue size: 0 || thead computing time: 0.093869498 || system average load: 1.72  || memory usage: 21043.5kb
1090    --> queue size: 0 || thead computing time: 0.094556999 || system average load: 1.72  || memory usage: 22067.5kb
1100    --> queue size: 0 || thead computing time: 0.095101244 || system average load: 1.72  || memory usage: 22067.5kb
1110    --> queue size: 1 || thead computing time: 0.09583739 || system average load: 1.72  || memory usage: 23091.5kb
1120    --> queue size: 2 || thead computing time: 0.096606821 || system average load: 1.72  || memory usage: 23091.5kb
1130    --> queue size: 0 || thead computing time: 0.097360328 || system average load: 1.72  || memory usage: 23091.5kb
1140    --> queue size: 1 || thead computing time: 0.098025273 || system average load: 1.72  || memory usage: 23091.5kb
1150    --> queue size: 1 || thead computing time: 0.098490733 || system average load: 1.58  || memory usage: 24115.5kb
1160    --> queue size: 1 || thead computing time: 0.09904779 || system average load: 1.58  || memory usage: 24115.5kb
1170    --> queue size: 0 || thead computing time: 0.099826288 || system average load: 1.58  || memory usage: 24115.5kb
1180    --> queue size: 0 || thead computing time: 0.100216898 || system average load: 1.58  || memory usage: 25139.5kb
1190    --> queue size: 0 || thead computing time: 0.100860381 || system average load: 1.58  || memory usage: 25139.5kb
1200    --> queue size: 0 || thead computing time: 0.101477375 || system average load: 1.58  || memory usage: 26163.5kb
1210    --> queue size: 0 || thead computing time: 0.102112309 || system average load: 1.58  || memory usage: 26163.5kb
1220    --> queue size: 0 || thead computing time: 0.102701664 || system average load: 1.58  || memory usage: 26163.5kb
1230    --> queue size: 1 || thead computing time: 0.103506072 || system average load: 1.58  || memory usage: 26163.5kb
1240    --> queue size: 0 || thead computing time: 0.104279634 || system average load: 1.58  || memory usage: 27187.5kb
1250    --> queue size: 0 || thead computing time: 0.10507434 || system average load: 1.58  || memory usage: 28211.5kb
1260    --> queue size: 0 || thead computing time: 0.105549643 || system average load: 1.58  || memory usage: 28211.5kb
1270    --> queue size: 0 || thead computing time: 0.106110147 || system average load: 1.58  || memory usage: 28211.5kb
1280    --> queue size: 2 || thead computing time: 0.106720318 || system average load: 1.58  || memory usage: 28211.5kb
1290    --> queue size: 2 || thead computing time: 0.107366859 || system average load: 1.58  || memory usage: 29235.5kb
1300    --> queue size: 0 || thead computing time: 0.108064236 || system average load: 1.58  || memory usage: 29235.5kb
1310    --> queue size: 1 || thead computing time: 0.108790035 || system average load: 1.58  || memory usage: 30259.5kb
1320    --> queue size: 1 || thead computing time: 0.109356262 || system average load: 1.58  || memory usage: 30259.5kb
1330    --> queue size: 1 || thead computing time: 0.109969293 || system average load: 1.58  || memory usage: 30259.5kb
1340    --> queue size: 0 || thead computing time: 0.110646137 || system average load: 1.58  || memory usage: 30259.5kb
1350    --> queue size: 0 || thead computing time: 0.111089254 || system average load: 1.58  || memory usage: 30259.5kb
1360    --> queue size: 0 || thead computing time: 0.111624185 || system average load: 1.58  || memory usage: 31283.5kb
1370    --> queue size: 2 || thead computing time: 0.112139715 || system average load: 1.58  || memory usage: 32307.5kb
1380    --> queue size: 0 || thead computing time: 0.112669348 || system average load: 1.58  || memory usage: 32307.5kb
1390    --> queue size: 0 || thead computing time: 0.113332923 || system average load: 1.58  || memory usage: 32307.5kb
1400    --> queue size: 0 || thead computing time: 0.113996906 || system average load: 1.58  || memory usage: 32307.5kb
1410    --> queue size: 0 || thead computing time: 0.114646527 || system average load: 1.58  || memory usage: 33331.5kb
1420    --> queue size: 0 || thead computing time: 0.115036404 || system average load: 1.58  || memory usage: 33331.5kb
1430    --> queue size: 1 || thead computing time: 0.115351641 || system average load: 1.58  || memory usage: 33331.5kb
1440    --> queue size: 1 || thead computing time: 0.116029227 || system average load: 1.58  || memory usage: 34355.5kb
1450    --> queue size: 0 || thead computing time: 0.116727612 || system average load: 1.58  || memory usage: 34355.5kb
1460    --> queue size: 0 || thead computing time: 0.117362321 || system average load: 1.58  || memory usage: 35379.5kb
1470    --> queue size: 0 || thead computing time: 0.117991935 || system average load: 1.58  || memory usage: 35379.5kb
1480    --> queue size: 0 || thead computing time: 0.118675627 || system average load: 1.58  || memory usage: 35379.5kb
1490    --> queue size: 2 || thead computing time: 0.119414959 || system average load: 1.58  || memory usage: 35379.5kb
1500    --> queue size: 0 || thead computing time: 0.119864538 || system average load: 1.58  || memory usage: 35379.5kb
1510    --> queue size: 0 || thead computing time: 0.120577072 || system average load: 1.58  || memory usage: 36403.5kb
1520    --> queue size: 1 || thead computing time: 0.121261868 || system average load: 1.58  || memory usage: 37427.5kb
1530    --> queue size: 1 || thead computing time: 0.121939029 || system average load: 1.58  || memory usage: 37427.5kb
1540    --> queue size: 0 || thead computing time: 0.122502133 || system average load: 1.58  || memory usage: 37427.5kb
1550    --> queue size: 0 || thead computing time: 0.123029663 || system average load: 1.58  || memory usage: 37427.5kb
1560    --> queue size: 0 || thead computing time: 0.123616941 || system average load: 1.58  || memory usage: 37427.5kb
1570    --> queue size: 2 || thead computing time: 0.124100043 || system average load: 1.58  || memory usage: 38451.5kb
1580    --> queue size: 2 || thead computing time: 0.124521455 || system average load: 1.58  || memory usage: 39475.5kb
1590    --> queue size: 1 || thead computing time: 0.124873663 || system average load: 1.58  || memory usage: 39475.5kb
1600    --> queue size: 0 || thead computing time: 0.125414997 || system average load: 1.58  || memory usage: 39475.5kb
1610    --> queue size: 1 || thead computing time: 0.125900195 || system average load: 1.58  || memory usage: 39475.5kb
1620    --> queue size: 0 || thead computing time: 0.12626641 || system average load: 1.58  || memory usage: 40499.5kb
1630    --> queue size: 0 || thead computing time: 0.126678924 || system average load: 1.58  || memory usage: 40499.5kb
