0, -1, 0.213706277, 1.7, 26308.010, -1, 0.001252822, 1.7, 26817.89062520, -1, 0.00222812, 1.7, 36033.89062530, -1, 0.002923764, 1.7, 37057.89062540, -1, 0.003334571, 1.7, 37057.89062550, -1, 0.003728377, 1.7, 37057.89062560, -1, 0.004227234, 1.7, 37057.89062570, -1, 0.005065148, 1.7, 38081.89062580, -1, 0.005880028, 1.7, 38081.89062590, -1, 0.007180553, 1.7, 38081.890625100, -1, 0.007996682, 1.7, 38081.890625110, -1, 0.00881812, 1.7, 39105.890625120, -1, 0.009561608, 1.7, 39105.890625130, -1, 0.010621475, 1.7, 39105.890625140, -1, 0.011766316, 1.7, 39105.890625150, -1, 0.012903503, 1.7, 39105.890625160, -1, 0.013305995, 1.7, 40129.890625170, -1, 0.014265149, 1.7, 40129.890625180, -1, 0.014897143, 1.7, 40129.890625190, -1, 0.015565668, 1.7, 40129.890625200, -1, 0.016766974, 1.7, 41153.890625210, -1, 0.017518269, 1.7, 41153.890625220, -1, 0.018313149, 1.7, 41153.890625230, -1, 0.019570349, 1.7, 41153.890625240, -1, 0.020488171, 1.64, 42177.890625250, -1, 0.021675523, 1.64, 42177.890625260, -1, 0.022423958, 1.64, 42177.890625270, -1, 0.023388737, 1.64, 42177.890625280, -1, 0.023942998, 1.64, 42177.890625290, -1, 0.024612162, 1.64, 42177.890625300, -1, 0.025189131, 1.64, 43201.890625310, -1, 0.025987696, 1.64, 43201.890625320, -1, 0.026369252, 1.64, 43201.890625330, -1, 0.026954114, 1.64, 43201.890625340, -1, 0.028126499, 1.64, 44225.890625350, -1, 0.028877098, 1.64, 44225.890625360, -1, 0.02977011, 1.64, 44225.890625370, -1, 0.03062231, 1.64, 44225.890625380, -1, 0.031834292, 1.64, 45249.890625390, -1, 0.032544679, 1.64, 45249.890625400, -1, 0.033490267, 1.64, 45249.890625410, -1, 0.034283412, 1.64, 45249.890625420, -1, 0.035548915, 1.64, 46273.890625430, -1, 0.035901551, 1.64, 46273.890625440, -1, 0.036547278, 1.64, 46273.890625450, -1, 0.037011929, 1.64, 46273.890625460, -1, 0.037426118, 1.64, 47297.890625470, -1, 0.037741089, 1.64, 47297.890625480, -1, 0.03835425, 1.64, 47297.890625490, -1, 0.03892278, 1.64, 47297.890625500, -1, 0.039597037, 1.64, 47297.890625510, -1, 0.040297243, 1.64, 48321.890625520, -1, 0.040895169, 1.64, 48321.890625530, -1, 0.041479292, 1.64, 48321.890625540, -1, 0.042172762, 1.64, 48321.890625550, -1, 0.042522928, 1.64, 48321.890625560, -1, 0.042810196, 1.64, 49345.890625570, -1, 0.043226244, 1.64, 49345.890625580, -1, 0.043812004, 1.83, 49345.890625590, -1, 0.045057623, 1.83, 49345.890625600, -1, 0.045875047, 1.83, 50369.890625610, -1, 0.046602439, 1.83, 50369.890625620, -1, 0.04728215, 1.83, 50369.890625630, -1, 0.0476377, 1.83, 50369.890625640, -1, 0.048878963, 1.83, 51393.890625650, -1, 0.049764063, 1.83, 51393.890625660, -1, 0.050681234, 1.83, 51393.890625670, -1, 0.051194202, 1.83, 51393.890625680, -1, 0.051898408, 1.83, 51393.890625690, -1, 0.052651643, 1.83, 52417.890625700, -1, 0.053864563, 1.83, 52417.890625710, -1, 0.054563602, 1.83, 52417.890625720, -1, 0.055710752, 1.83, 52417.890625730, -1, 0.056492324, 1.83, 53441.890625740, -1, 0.057607383, 1.83, 53441.890625750, -1, 0.058289512, 1.83, 53441.890625760, -1, 0.058984328, 1.83, 53441.890625770, -1, 0.05938289, 1.83, 54465.890625780, -1, 0.060136081, 1.83, 54465.890625790, -1, 0.060494562, 1.83, 54465.890625800, -1, 0.061647713, 1.83, 54465.890625810, -1, 0.062095834, 1.83, 54465.890625820, -1, 0.062669865, 1.83, 55489.890625830, -1, 0.063271627, 1.83, 55489.890625840, -1, 0.063992179, 1.83, 55489.890625850, -1, 0.064681722, 1.83, 55489.890625860, -1, 0.065452362, 1.83, 56513.890625870, -1, 0.066181698, 1.83, 56513.890625880, -1, 0.066940523, 1.83, 56513.890625890, -1, 0.067453353, 1.83, 56513.890625900, -1, 0.068419956, 1.83, 56513.890625910, -1, 0.069267957, 2.01, 57537.890625920, -1, 0.069905998, 2.01, 57537.890625930, -1, 0.07044141, 2.01, 57537.890625940, -1, 0.071113031, 2.01, 57537.890625950, -1, 0.071482418, 2.01, 58561.890625960, -1, 0.071845043, 2.01, 58561.890625970, -1, 0.072919177, 2.01, 58561.890625980, -1, 0.073535225, 2.01, 58561.890625990, -1, 0.074168229, 2.01, 58561.8906251000, -1, 0.074562546, 2.01, 58561.8906251010, -1, 0.075467805, 2.01, 59585.8906251020, -1, 0.075790805, 2.01, 59585.8906251030, -1, 0.076740946, 2.01, 59585.8906251040, -1, 0.077494402, 2.01, 60609.8906251050, -1, 0.078596295, 2.01, 60609.8906251060, -1, 0.07933743, 2.01, 60609.8906251070, -1, 0.080099493, 2.01, 60609.8906251080, -1, 0.08107025, 2.01, 61633.8906251090, -1, 0.081385025, 2.01, 61633.8906251100, -1, 0.082145932, 2.01, 61633.8906251110, -1, 0.082784657, 2.01, 61633.8906251120, -1, 0.083509399, 2.01, 61633.8906251130, -1, 0.083961324, 2.01, 61633.8906251140, -1, 0.084872492, 2.01, 16863.01150, -1, 0.085487817, 2.01, 16863.01160, -1, 0.086575826, 2.01, 16863.01170, -1, 0.087346173, 2.01, 16863.01180, -1, 0.088386594, 2.01, 16863.01190, -1, 0.08914266, 2.01, 16863.01200, -1, 0.090125304, 2.01, 16863.01210, -1, 0.090400498, 2.01, 17887.01220, -1, 0.090862562, 2.01, 17887.01230, -1, 0.091400491, 2.01, 17887.01240, -1, 0.092083884, 2.01, 18911.01250, -1, 0.092476387, 1.93, 18911.01260, -1, 0.093489673, 1.93, 18911.01270, -1, 0.094417362, 1.93, 18911.01280, -1, 0.095503826, 1.93, 19935.01290, -1, 0.096262659, 1.93, 19935.01300, -1, 0.096815178, 1.93, 19935.01310, -1, 0.09732088, 1.93, 19935.01320, -1, 0.097651894, 1.93, 19935.01330, -1, 0.098712197, 1.93, 20959.01340, -1, 0.099362796, 1.93, 20959.01350, -1, 0.100228221, 1.93, 20959.01360, -1, 0.100889544, 1.93, 21983.01370, -1, 0.102003748, 1.93, 21983.01380, -1, 0.102727092, 1.93, 21983.01390, -1, 0.103208749, 1.93, 21983.01400, -1, 0.103598601, 1.93, 21983.01410, -1, 0.104385583, 1.93, 23007.01420, -1, 0.104770494, 1.93, 23007.01430, -1, 0.105751389, 1.93, 23007.01440, -1, 0.106027485, 1.93, 23007.01450, -1, 0.106618478, 1.93, 24031.01460, -1, 0.107275079, 1.93, 24031.01470, -1, 0.108084719, 1.93, 24031.01480, -1, 0.108788791, 1.93, 24031.01490, -1, 0.109642051, 1.93, 25055.01500, -1, 0.110144827, 1.93, 25055.01510, -1, 0.110642104, 1.93, 25055.01520, -1, 0.111219449, 1.93, 25055.01530, -1, 0.111826347, 1.93, 25055.01540, -1, 0.112504841, 1.93, 25055.01550, -1, 0.11319928, 1.93, 26079.01560, -1, 0.113744318, 1.93, 26079.01570, -1, 0.114408479, 1.93, 26079.01580, -1, 0.115010487, 1.93, 27103.01590, -1, 0.115735127, 1.85, 27103.01600, -1, 0.116091136, 1.85, 27103.01610, -1, 0.11678617, 1.85, 27103.01620, -1, 0.117083381, 1.85, 28127.01630, -1, 0.117476896, 1.85, 28127.01640, -1, 0.117782317, 1.85, 28127.01650, -1, 0.118289985, 1.85, 28127.01660, -1, 0.118886864, 1.85, 28127.01670, -1, 0.119635057, 1.85, 28127.01680, -1, 0.120139698, 1.85, 29151.01690, -1, 0.120512343, 1.85, 29151.01700, -1, 0.121086751, 1.85, 29151.01710, -1, 0.122181322, 1.85, 29151.01720, -1, 0.12293672, 1.85, 29151.01730, -1, 0.123650586, 1.85, 30175.01740, -1, 0.124120225, 1.85, 30175.01750, -1, 0.125245737, 1.85, 30175.01760, -1, 0.126022617, 1.85, 30175.01770, -1, 0.127153852, 1.85, 31199.01780, -1, 0.127843022, 1.85, 31199.01790, -1, 0.128659938, 1.85, 31199.01800, -1, 0.129306727, 1.85, 31199.01810, -1, 0.130006006, 1.85, 32223.01820, -1, 0.130634113, 1.85, 32223.01830, -1, 0.131748907, 1.85, 32223.01840, -1, 0.132050841, 1.85, 32223.01850, -1, 0.132969009, 1.85, 32223.01860, -1, 0.133584653, 1.85, 33247.01870, -1, 0.134629819, 1.85, 33247.01880, -1, 0.135288892, 1.85, 33247.01890, -1, 0.135913514, 1.85, 34271.01900, -1, 0.136580485, 1.85, 34271.01910, -1, 0.137599988, 1.85, 34271.01920, -1, 0.138109669, 1.85, 34271.01930, -1, 0.138852456, 1.94, 34271.01940, -1, 0.139051704, 1.94, 34271.01950, -1, 0.139561458, 1.94, 35295.01960, -1, 0.140257824, 1.94, 35295.01970, -1, 0.1408089, 1.94, 35295.01980, -1, 0.141302896, 1.94, 36319.01990, -1, 0.142076249, 1.94, 36319.02000, -1, 0.142761241, 1.94, 36319.02010, -1, 0.143675449, 1.94, 36319.02020, -1, 0.144301518, 1.94, 36319.02030, -1, 0.145461077, 1.94, 36319.02040, -1, 0.1461383, 1.94, 37343.02050, -1, 0.147192866, 1.94, 37343.02060, -1, 0.147879104, 1.94, 37343.02070, -1, 0.148677826, 1.94, 37343.02080, -1, 0.148913697, 1.94, 38367.02090, -1, 0.149407156, 1.94, 38367.02100, -1, 0.149978024, 1.94, 38367.02110, -1, 0.150843365, 1.94, 38367.02120, -1, 0.151455826, 1.94, 39391.02130, -1, 0.152025531, 1.94, 39391.02140, -1, 0.15312253, 1.94, 39391.02150, -1, 0.153912059, 1.94, 39391.02160, -1,d computing time: 0.079259177 || system average load: 1.64  || memory usage: 59743.0kb
710    --> queue size: 1 || thead computing time: 0.079896927 || system average load: 1.64  || memory usage: 59743.0kb
720    --> queue size: 0 || thead computing time: 0.080446845 || system average load: 1.64  || memory usage: 60767.0kb
730    --> queue size: 0 || thead computing time: 0.081220655 || system average load: 1.64  || memory usage: 60767.0kb
740    --> queue size: 0 || thead computing time: 0.082319338 || system average load: 1.64  || memory usage: 61791.0kb
750    --> queue size: 2 || thead computing time: 0.08298157 || system average load: 1.64  || memory usage: 61791.0kb
760    --> queue size: 2 || thead computing time: 0.08368274 || system average load: 1.64  || memory usage: 61791.0kb
770    --> queue size: 2 || thead computing time: 0.084260571 || system average load: 1.64  || memory usage: 62815.0kb
780    --> queue size: 0 || thead computing time: 0.084844279 || system average load: 1.64  || memory usage: 62815.0kb
790    --> queue size: 1 || thead computing time: 0.085612216 || system average load: 1.64  || memory usage: 62815.0kb
800    --> queue size: 1 || thead computing time: 0.086209892 || system average load: 1.64  || memory usage: 63839.0kb
810    --> queue size: 0 || thead computing time: 0.086945401 || system average load: 1.64  || memory usage: 63839.0kb
820    --> queue size: 0 || thead computing time: 0.087688058 || system average load: 1.64  || memory usage: 64863.0kb
830    --> queue size: 0 || thead computing time: 0.088117782 || system average load: 1.64  || memory usage: 64863.0kb
840    --> queue size: 0 || thead computing time: 0.088966159 || system average load: 1.64  || memory usage: 64863.0kb
850    --> queue size: 0 || thead computing time: 0.089521095 || system average load: 1.64  || memory usage: 65887.0kb
860    --> queue size: 0 || thead computing time: 0.090088002 || system average load: 1.64  || memory usage: 65887.0kb
870    --> queue size: 0 || thead computing time: 0.090498705 || system average load: 1.64  || memory usage: 18470.546875kb
880    --> queue size: 1 || thead computing time: 0.090915898 || system average load: 1.64  || memory usage: 18470.546875kb
890    --> queue size: 0 || thead computing time: 0.091707543 || system average load: 1.64  || memory usage: 18470.546875kb
900    --> queue size: 0 || thead computing time: 0.09202957 || system average load: 1.64  || memory usage: 18470.546875kb
910    --> queue size: 0 || thead computing time: 0.092423069 || system average load: 1.64  || memory usage: 19494.546875kb
920    --> queue size: 0 || thead computing time: 0.092917983 || system average load: 1.64  || memory usage: 19494.546875kb
930    --> queue size: 2 || thead computing time: 0.093279729 || system average load: 1.64  || memory usage: 19494.546875kb
940    --> queue size: 1 || thead computing time: 0.093693093 || system average load: 1.64  || memory usage: 20518.546875kb
950    --> queue size: 1 || thead computing time: 0.094137506 || system average load: 1.64  || memory usage: 20518.546875kb
960    --> queue size: 0 || thead computing time: 0.094895365 || system average load: 1.83  || memory usage: 20518.546875kb
970    --> queue size: 0 || thead computing time: 0.095753068 || system average load: 1.83  || memory usage: 21542.546875kb
980    --> queue size: 1 || thead computing time: 0.096582567 || system average load: 1.83  || memory usage: 21542.546875kb
990    --> queue size: 0 || thead computing time: 0.097190562 || system average load: 1.83  || memory usage: 21542.546875kb
1000    --> queue size: 0 || thead computing time: 0.098027526 || system average load: 1.83  || memory usage: 22566.546875kb
1010    --> queue size: 2 || thead computing time: 0.098914621 || system average load: 1.83  || memory usage: 22566.546875kb
1020    --> queue size: 0 || thead computing time: 0.099711686 || system average load: 1.83  || memory usage: 22566.546875kb
1030    --> queue size: 1 || thead computing time: 0.100400583 || system average load: 1.83  || memory usage: 23590.546875kb
1040    --> queue size: 0 || thead computing time: 0.101122487 || system average load: 1.83  || memory usage: 23590.546875kb
1050    --> queue size: 0 || thead computing time: 0.101666524 || system average load: 1.83  || memory usage: 23590.546875kb
1060    --> queue size: 1 || thead computing time: 0.102419409 || system average load: 1.83  || memory usage: 24614.546875kb
1070    --> queue size: 0 || thead computing time: 0.103103137 || system average load: 1.83  || memory usage: 24614.546875kb
1080    --> queue size: 0 || thead computing time: 0.103926214 || system average load: 1.83  || memory usage: 24614.546875kb
1090    --> queue size: 0 || thead computing time: 0.104645018 || system average load: 1.83  || memory usage: 25638.546875kb
1100    --> queue size: 0 || thead computing time: 0.105235324 || system average load: 1.83  || memory usage: 25638.546875kb
1110    --> queue size: 2 || thead computing time: 0.106055158 || system average load: 1.83  || memory usage: 25638.546875kb
1120    --> queue size: 1 || thead computing time: 0.10638274 || system average load: 1.83  || memory usage: 26662.546875kb
1130    --> queue size: 0 || thead computing time: 0.106998873 || system average load: 1.83  || memory usage: 26662.546875kb
1140    --> queue size: 1 || thead computing time: 0.107688745 || system average load: 1.83  || memory usage: 26662.546875kb
1150    --> queue size: 1 || thead computing time: 0.108737841 || system average load: 1.83  || memory usage: 27686.546875kb
1160    --> queue size: 0 || thead computing time: 0.10931104 || system average load: 1.83  || memory usage: 27686.546875kb
1170    --> queue size: 0 || thead computing time: 0.109998758 || system average load: 1.83  || memory usage: 28710.546875kb
1180    --> queue size: 0 || thead computing time: 0.110831602 || system average load: 1.83  || memory usage: 28710.546875kb
1190    --> queue size: 2 || thead computing time: 0.111699044 || system average load: 1.83  || memory usage: 28710.546875kb
1200    --> queue size: 2 || thead computing time: 0.112464439 || system average load: 1.83  || memory usage: 29734.546875kb
1210    --> queue size: 0 || thead computing time: 0.113007564 || system average load: 1.83  || memory usage: 29734.546875kb
1220    --> queue size: 1 || thead computing time: 0.113725439 || system average load: 1.83  || memory usage: 30758.546875kb
1230    --> queue size: 1 || thead computing time: 0.114474924 || system average load: 1.83  || memory usage: 30758.546875kb
1240    --> queue size: 0 || thead computing time: 0.115238268 || system average load: 1.83  || memory usage: 30758.546875kb
1250    --> queue size: 0 || thead computing time: 0.115837938 || system average load: 1.83  || memory usage: 30758.546875kb
1260    --> queue size: 0 || thead computing time: 0.116310997 || system average load: 1.83  || memory usage: 31782.546875kb
1270    --> queue size: 0 || thead computing time: 0.116925206 || system average load: 1.83  || memory usage: 31782.546875kb
1280    --> queue size: 1 || thead computing time: 0.117708242 || system average load: 1.83  || memory usage: 31782.546875kb
1290    --> queue size: 0 || thead computing time: 0.118264627 || system average load: 1.83  || memory usage: 32806.546875kb
1300    --> queue size: 0 || thead computing time: 0.118777469 || system average load: 1.83  || memory usage: 32806.546875kb
1310    --> queue size: 1 || thead computing time: 0.119559508 || system average load: 1.83  || memory usage: 33830.546875kb
1320    --> queue size: 1 || thead computing time: 0.119885485 || system average load: 1.83  || memory usage: 33830.546875kb
1330    --> queue size: 0 || thead computing time: 0.120596792 || system average load: 1.83  || memory usage: 33830.546875kb
1340    --> queue size: 0 || thead computing time: 0.121407428 || system average load: 1.83  || memory usage: 34854.546875kb
1350    --> queue size: 0 || thead computing time: 0.122254766 || system average load: 1.83  || memory usage: 34854.546875kb
1360    --> queue size: 1 || thead computing time: 0.122638106 || system average load: 1.83  || memory usage: 34854.546875kb
1370    --> queue size: 2 || thead computing time: 0.12320314 || system average load: 1.83  || memory usage: 35878.546875kb
1380    --> queue size: 0 || thead computing time: 0.123754859 || system average load: 1.83  || memory usage: 35878.546875kb
1390    --> queue size: 0 || thead computing time: 0.124541706 || system average load: 1.83  || memory usage: 35878.546875kb
1400    --> queue size: 1 || thead computing time: 0.125077022 || system average load: 1.83  || memory usage: 35878.546875kb
1410    --> queue size: 0 || thead computing time: 0.125657989 || system average load: 1.83  || memory usage: 35878.546875kb
1420    --> queue size: 0 || thead computing time: 0.126367361 || system average load: 1.83  || memory usage: 37926.546875kb
1430    --> queue size: 0 || thead computing time: 0.127208055 || system average load: 1.83  || memory usage: 37926.546875kb
1440    --> queue size: 0 || thead computing time: 0.127987482 || system average load: 1.83  || memory usage: 37926.546875kb
1450    --> queue size: 2 || thead computing time: 0.128811887 || system average load: 1.83  || memory usage: 37926.546875kb
1460    --> queue size: 0 || thead computing time: 0.129554248 || system average load: 1.83  || memory usage: 37926.546875kb
1470    --> queue size: 1 || thead computing time: 0.130121054 || system average load: 1.83  || memory usage: 38950.546875kb
1480    --> queue size: 1 || thead computing time: 0.130659543 || system average load: 1.83  || memory usage: 39974.546875kb
1490    --> queue size: 0 || thead computing time: 0.13138712 || system average load: 1.83  || memory usage: 39974.546875kb
1500    --> queue size: 0 || thead computing time: 0.1319862 || system average load: 1.83  || memory usage: 39974.546875kb
1510    --> queue size: 2 || thead computing time: 0.132679442 || system average load: 1.83  || memory usage: 39974.546875kb
1520    --> queue size: 0 || thead computing time: 0.133498075 || system average load: 1.83  || memory usage: 40998.546875kb
1530    --> queue size: 0 || thead computing time: 0.134150209 || system average load: 2.01  || memory usage: 40998.546875kb
1540    --> queue size: 0 || thead computing time: 0.134785826 || system average load: 2.01  || memory usage: 42022.546875kb
1550    --> queue size: 0 || thead computing time: 0.135167756 || system average load: 2.01  || memory usage: 42022.546875kb
1560    --> queue size: 0 || thead computing time: 0.135624136 || system average load: 2.01  || memory usage: 42022.546875kb
1570    --> queue size: 0 || thead computing time: 0.136238556 || system average load: 2.01  || memory usage: 43046.546875kb
1580    --> queue size: 0 || thead computing time: 0.13682379 || system average load: 2.01  || memory usage: 43046.546875kb
1590    --> queue size: 2 || thead computing time: 0.137289482 || system average load: 2.01  || memory usage: 44070.546875kb
1600    --> queue size: 2 || thead computing time: 0.137889014 || system average load: 2.01  || memory usage: 44070.546875kb
1610    --> queue size: 0 || thead computing time: 0.138397805 || system average load: 2.01  || memory usage: 44070.546875kb
1620    --> queue size: 1 || thead computing time: 0.139200585 || system average load: 2.01  || memory usage: 44070.546875kb
1630    --> queue size: 1 || thead computing time: 0.139828585 || system average load: 2.01  || memory usage: 45094.546875kb
1640    --> queue size: 1 || thead computing time: 0.140434811 || system average load: 2.01  || memory usage: 45094.546875kb
1650    --> queue size: 0 || thead computing time: 0.141068744 || system average load: 2.01  || memory usage: 46118.546875kb
1660    --> queue size: 0 || thead computing time: 0.141687884 || system average load: 2.01  || memory usage: 46118.546875kb
1670    --> queue size: 0 || thead computing time: 0.14242783 || system average load: 2.01  || memory usage: 46118.546875kb
1680    --> queue size: 2 || thead computing time: 0.142881768 || system average load: 2.01  || memory usage: 47142.546875kb
1690    --> queue size: 0 || thead computing time: 0.143362845 || system average load: 2.01  || memory usage: 47142.546875kb
